segmentation,smoothness,curve_complexity,anti_alias,corners,rejection,cluster,lambda_initial,lambda_final,prior0,prior1,prior2,length0,length1,length2,fit_initial,fit_final
1,6,12,0,0,0,1,0.0012000000569969416,20.0,0.7615958096191475,0.31656885093401615,2.5247620874516876,3.6644677801881556,3.6644677801881556,3.6644677801881556,0.0001,0.1
1,6,12,0,0,1,1,0.0012000000569969416,20.0,0.7615958096191475,0.31656885093401615,2.5247620874516876,3.6644677801881556,3.6644677801881556,3.6644677801881556,0.0001,0.1
1,6,12,0,0,2,1,0.0012000000569969416,20.0,0.7615958096191475,0.31656885093401615,2.5247620874516876,3.6644677801881556,3.6644677801881556,3.6644677801881556,0.0001,0.1
1,6,12,0,1,0,1,0.0012000000569969416,20.0,0.7615958096191475,0.31656885093401615,2.5247620874516876,3.6644677801881556,3.6644677801881556,3.6644677801881556,0.0001,0.1
1,6,12,0,1,1,1,0.0012000000569969416,20.0,0.7615958096191475,0.31656885093401615,2.5247620874516876,3.6644677801881556,3.6644677801881556,3.6644677801881556,0.0001,0.1
1,6,12,0,1,2,1,0.0012000000569969416,20.0,0.7615958096191475,0.31656885093401615,2.5247620874516876,3.6644677801881556,3.6644677801881556,3.6644677801881556,0.0001,0.1
1,6,12,1,0,0,1,0.0012000000569969416,20.0,0.5557669663547499,0.231012970008316,1.842420019107248,1.3370544557738155,0.1951404378414617,0.05557669663547499,0.0001,0.1
1,6,12,1,0,1,1,0.0012000000569969416,20.0,0.5557669663547499,0.231012970008316,1.842420019107248,1.3370544557738155,0.1951404378414617,0.05557669663547499,0.0001,0.1
1,6,12,1,0,2,1,0.0012000000569969416,20.0,0.5557669663547499,0.231012970008316,1.842420019107248,1.3370544557738155,0.1951404378414617,0.05557669663547499,0.0001,0.1
1,6,12,1,1,0,1,0.0012000000569969416,20.0,0.5557669663547499,0.231012970008316,1.842420019107248,1.3370544557738155,0.1951404378414617,0.05557669663547499,0.0001,0.1
1,6,12,1,1,1,1,0.0012000000569969416,20.0,0.5557669663547499,0.231012970008316,1.842420019107248,1.3370544557738155,0.1951404378414617,0.05557669663547499,0.0001,0.1
1,6,12,1,1,2,1,0.0012000000569969416,20.0,0.5557669663547499,0.231012970008316,1.842420019107248,1.3370544557738155,0.1951404378414617,0.05557669663547499,0.0001,0.1
2,11,11,0,0,0,0,0.0010999999940395355,11.600564002990723,11.600563544588898,10.021583738168335,14.165385773852003,26.856648224074217,26.856648224074217,26.856648224074217,0.0002,0.1618767755640066
2,11,11,0,0,1,0,0.0010999999940395355,11.600564002990723,11.600563544588898,10.021583738168335,14.165385773852003,26.856648224074217,26.856648224074217,26.856648224074217,0.0002,0.1618767755640066
2,11,11,0,0,2,0,0.0010999999940395355,11.600564002990723,11.600563544588898,10.021583738168335,14.165385773852003,26.856648224074217,26.856648224074217,26.856648224074217,0.0002,0.1618767755640066
